event_id,user_id,user_age,user_gender,user_region,subscription_type,signup_date,last_active,device,session_id,content_id,title,content_type,primary_genre,genres,language,release_year,duration_min,director,main_cast,description,avg_rating,user_rating,watch_time_min,watch_percentage,completed,watch_date,play_count,is_original,popularity_rank,imdb_score,maturity_rating,tags_count,num_seasons,episodes,recommendation_source,churn_label,social_shares,watch_start_time,audio_languages,subtitles,bitrate_kbps,network,resolution,mood_tag,metadata_text
ev_00011,user_0044,40,Other,UP,Standard,24-04-2021,27-07-2024,Tablet,sess_26683,content_0067,Title 224 S1,Movie,Documentary,Comedy|Documentary,Spanish,2010,51,Director_93,"Actor_260,Actor_159,Actor_342",A documentary piece about friendship.,4.8,,51,100,1,21-07-2024,3,0,1261,6.4,18+,8,0,1,trending,0,4,21-07-2024 22:20,"Telugu,Korean",No,4500,5G,4K,Educational,Title 224 S1 | Documentary | Director_93 | Spanish
ev_00012,user_0066,16,Other,DL,Standard,07-01-2020,25-04-2024,GameConsole,sess_64321,content_0233,Title 44 S3,Series,Comedy,Romance,Hindi,2006,19,Director_4,Actor_126,A comedy piece about friendship.,6.8,,19,100,1,11-04-2024,7,0,500,3.9,U,12,2,20,organic,0,1,11-04-2024 04:08,"Hindi,Telugu",No,2000,3G,4K,Dark,Title 44 S3 | Comedy | Director_4 | Hindi
ev_00013,user_0122,50,Other,DL,Basic,05-11-2017,17-04-2023,Tablet,sess_28136,content_0109,Title 244 S4,Series,Thriller,Romance|Horror|Fantasy,French,2007,27,Director_57,Actor_366,A thriller piece about mystery.,4.1,9,13,48.1,0,24-03-2023,4,1,132,5.5,15+,8,8,80,organic,0,0,24-03-2023 19:39,"Telugu,English",No,1500,3G,4K,Thrilling,Title 244 S4 | Thriller | Director_57 | French
ev_00014,user_0136,26,Female,AP,Premium,17-10-2020,09-08-2025,GameConsole,sess_26728,content_0146,Title 280 S5,Movie,Fantasy,Romance,Telugu,2015,27,Director_50,"Actor_343,Actor_348,Actor_409",A fantasy piece about friendship.,7.6,,2,7.4,0,30-07-2025,1,0,172,6.9,UA,7,0,1,organic,0,2,30-07-2025 11:31,"Tamil,Telugu",No,800,3G,480p,Educational,Title 280 S5 | Fantasy | Director_50 | Telugu
ev_00015,user_0396,37,Female,MH,Standard,10-09-2019,12-05-2024,SmartTV,sess_43586,content_0111,Title 27 S3,Movie,Comedy,Drama|Animation|Thriller,Hindi,2000,179,Director_20,"Actor_65,Actor_243",A comedy piece about crime.,3.3,,179,100,1,21-04-2024,2,0,1593,7.9,15+,1,0,1,personalized,0,5,21-04-2024 06:46,Spanish,Yes,800,WiFi,480p,Thrilling,Title 27 S3 | Comedy | Director_20 | Hindi
ev_00016,user_0146,18,Female,MH,Standard,06-04-2018,23-01-2025,Web,sess_30052,content_0228,Title 22 S3,Series,Documentary,Horror,French,2010,10,Director_109,"Actor_422,Actor_251,Actor_55,Actor_222",A documentary piece about mystery.,6.9,,10,100,1,25-12-2024,5,0,1262,7.8,18+,7,7,56,organic,0,3,25-12-2024 08:19,"Spanish,Korean",No,1500,4G,4K,Suspense,Title 22 S3 | Documentary | Director_109 | French
ev_00017,user_0348,60,Other,RJ,Standard,28-12-2020,15-05-2024,Web,sess_94659,content_0111,Title 250 S2,Series,Romance,Romance|Animation,Spanish,2000,43,Director_25,Actor_124,A romance piece about crime.,5.3,3.2,5,11.6,0,02-05-2024,4,1,829,7.2,15+,10,10,90,personalized,0,2,02-05-2024 12:00,"Tamil,Korean",No,1200,4G,720p,Suspense,Title 250 S2 | Romance | Director_25 | Spanish
ev_00018,user_0201,17,Female,RJ,Free,13-04-2022,15-08-2024,Tablet,sess_48290,content_0034,Title 275 S2,Movie,Thriller,Fantasy|Romance|Horror,English,2006,95,Director_30,"Actor_92,Actor_155,Actor_8",A thriller piece about crime.,6.2,9.8,22,23.2,0,20-07-2024,5,1,962,5.9,15+,2,0,1,editor_pick,0,3,20-07-2024 02:31,Hindi,Yes,3000,WiFi,480p,Dark,Title 275 S2 | Thriller | Director_30 | English
ev_00019,user_0135,31,Other,KA,Free,21-04-2021,24-10-2024,SmartTV,sess_37659,content_0111,Title 286 S4,Movie,Horror,Fantasy|Animation,Tamil,2018,129,Director_40,Actor_313,A horror piece about crime.,3.2,,129,100,1,02-10-2024,2,1,321,3,18+,11,0,1,personalized,0,3,02-10-2024 02:25,Tamil,Yes,2000,4G,720p,Educational,Title 286 S4 | Horror | Director_40 | Tamil
ev_00020,user_0063,14,Other,KA,Standard,18-08-2019,05-08-2024,Web,sess_74722,content_0264,Title 137 S2,Movie,Drama,Romance,Spanish,2023,165,Director_118,"Actor_225,Actor_64,Actor_240",A drama piece about crime.,4.6,3.5,22,13.3,0,06-07-2024,6,0,1237,4.5,U,3,0,1,editor_pick,0,2,06-07-2024 19:40,Korean,Yes,2000,3G,1080p,Dark,Title 137 S2 | Drama | Director_118 | Spanish
ev_00021,user_0036,36,Other,RJ,Free,13-11-2021,02-03-2024,Mobile,sess_82102,content_0236,Title 224 S4,Movie,Fantasy,Sci-Fi|Documentary,Tamil,2021,46,Director_110,"Actor_169,Actor_211",A fantasy piece about crime.,6,,46,100,1,15-02-2024,2,0,1987,7.6,U,10,0,1,trending,0,3,15-02-2024 21:20,"Korean,English",Yes,1500,5G,1080p,Heartwarming,Title 224 S4 | Fantasy | Director_110 | Tamil
ev_00022,user_0205,68,Male,TN,Basic,28-12-2017,29-05-2024,GameConsole,sess_48254,content_0083,Title 249 S1,Movie,Animation,Action,Tamil,2017,23,Director_71,"Actor_48,Actor_116,Actor_431,Actor_468",A animation piece about love.,5.7,8.5,8,34.8,0,25-05-2024,8,0,500,5.7,UA,6,0,1,organic,0,2,25-05-2024 14:09,"Korean,Spanish",No,800,WiFi,1080p,Thrilling,Title 249 S1 | Animation | Director_71 | Tamil
ev_00023,user_0394,19,Female,RJ,Standard,22-01-2021,23-03-2024,SmartTV,sess_15720,content_0042,Title 251 S2,Series,Horror,Documentary|Animation,Spanish,2024,44,Director_49,"Actor_478,Actor_165,Actor_446,Actor_97",A horror piece about crime.,4.2,8.7,2,4.5,0,25-02-2024,7,0,1360,7.8,UA,7,1,6,personalized,0,0,25-02-2024 17:57,"English,French",Yes,2000,5G,480p,Heartwarming,Title 251 S2 | Horror | Director_49 | Spanish
ev_00024,user_0065,40,Male,UP,Premium,28-11-2020,02-11-2023,Mobile,sess_39817,content_0101,Title 136 S3,Series,Comedy,Horror|Sci-Fi,Tamil,2020,55,Director_114,"Actor_447,Actor_278,Actor_19,Actor_317",A comedy piece about love.,4.1,,55,100,1,22-10-2023,2,0,909,4,15+,0,1,9,trending,0,1,22-10-2023 18:07,"Spanish,French",Yes,1200,5G,480p,Thrilling,Title 136 S3 | Comedy | Director_114 | Tamil
ev_00025,user_0388,49,Female,TN,Standard,04-08-2021,29-03-2023,SmartTV,sess_67898,content_0006,Title 196 S5,Movie,Fantasy,Action|Thriller|Fantasy,French,2008,137,Director_33,Actor_461,A fantasy piece about family.,5.8,5.9,42,30.7,0,17-03-2023,5,0,936,8.1,UA,6,0,1,trending,0,4,17-03-2023 10:05,"English,French",No,1500,4G,480p,Thrilling,Title 196 S5 | Fantasy | Director_33 | French
ev_00026,user_0164,29,Female,KA,Premium,07-04-2018,21-08-2024,Tablet,sess_57823,content_0180,Title 255 S3,Movie,Animation,Thriller|Animation,Spanish,2008,55,Director_81,Actor_463,A animation piece about crime.,7,5,27,49.1,0,16-08-2024,7,0,360,4.2,15+,8,0,1,personalized,0,2,16-08-2024 11:33,Telugu,Yes,1200,5G,4K,Thrilling,Title 255 S3 | Animation | Director_81 | Spanish
ev_00027,user_0349,20,Male,DL,Standard,19-03-2021,07-09-2025,SmartTV,sess_83584,content_0282,Title 47 S4,Movie,Romance,Comedy|Fantasy|Documentary,French,2023,87,Director_75,"Actor_422,Actor_327,Actor_482,Actor_191",A romance piece about love.,7.2,6.6,6,6.9,0,23-08-2025,8,0,1863,7.2,18+,1,0,1,organic,0,1,23-08-2025 18:20,Telugu,No,1500,3G,720p,Heartwarming,Title 47 S4 | Romance | Director_75 | French
ev_00028,user_0007,65,Male,RJ,Free,20-08-2019,16-10-2023,Mobile,sess_34878,content_0226,Title 51 S4,Series,Romance,Documentary,Hindi,2014,38,Director_31,"Actor_51,Actor_352,Actor_189",A romance piece about space.,8.8,1.5,1,2.6,0,10-10-2023,1,0,104,7.7,UA,2,10,70,organic,0,2,10-10-2023 05:02,Tamil,Yes,1200,WiFi,720p,Feel-good,Title 51 S4 | Romance | Director_31 | Hindi
ev_00029,user_0283,40,Other,KA,Basic,03-03-2018,16-04-2024,GameConsole,sess_57453,content_0229,Title 14 S2,Movie,Documentary,Animation,Tamil,2000,64,Director_34,Actor_65,A documentary piece about crime.,5.4,1.6,43,67.2,0,04-04-2024,1,0,1490,7.7,15+,7,0,1,personalized,1,0,04-04-2024 16:44,"English,Korean",No,3000,5G,480p,Dark,Title 14 S2 | Documentary | Director_34 | Tamil
ev_00030,user_0252,56,Female,RJ,Premium,29-07-2017,12-01-2025,Web,sess_38183,content_0289,Title 300 S5,Series,Sci-Fi,Horror|Romance|Fantasy,Spanish,2019,37,Director_13,Actor_437,A sci-fi piece about crime.,7.1,,17,45.9,0,08-01-2025,8,0,817,5.5,U,5,7,63,personalized,0,0,08-01-2025 03:06,English,No,800,WiFi,720p,Thrilling,Title 300 S5 | Sci-Fi | Director_13 | Spanish
ev_00031,user_0367,35,Male,WB,Free,02-10-2017,28-08-2023,SmartTV,sess_24184,content_0150,Title 288 S5,Series,Comedy,Documentary|Sci-Fi,Korean,2023,13,Director_37,"Actor_181,Actor_54,Actor_296",A comedy piece about space.,4,,7,53.8,0,18-08-2023,4,0,1654,5.6,U,9,5,20,organic,0,1,18-08-2023 04:53,"English,Hindi",Yes,800,5G,4K,Heartwarming,Title 288 S5 | Comedy | Director_37 | Korean
ev_00032,user_0308,16,Male,UP,Basic,14-09-2020,31-05-2024,Web,sess_89570,content_0277,Title 175 S2,Series,Romance,Documentary|Comedy|Drama,Hindi,2005,58,Director_80,Actor_346,A romance piece about love.,4.4,,58,100,1,12-05-2024,2,0,707,5.6,15+,10,10,110,personalized,0,1,12-05-2024 10:17,Korean,Yes,1500,WiFi,1080p,Feel-good,Title 175 S2 | Romance | Director_80 | Hindi
ev_00033,user_0103,50,Female,UP,Basic,22-07-2021,28-03-2024,Web,sess_85156,content_0198,Title 255 S4,Movie,Action,Horror|Thriller,Spanish,2017,110,Director_10,"Actor_442,Actor_380,Actor_22,Actor_224",A action piece about love.,5.7,3.8,76,69.1,0,15-03-2024,6,0,352,7.8,18+,11,0,1,editor_pick,1,4,15-03-2024 02:41,"Korean,Tamil",No,1200,WiFi,720p,Feel-good,Title 255 S4 | Action | Director_10 | Spanish
ev_00034,user_0100,32,Female,RJ,Standard,10-06-2020,25-10-2024,Web,sess_74764,content_0070,Title 59 S5,Movie,Documentary,Action|Thriller,English,2004,85,Director_26,"Actor_309,Actor_79",A documentary piece about family.,7.8,9.6,10,11.8,0,05-10-2024,6,0,1770,8.8,15+,2,0,1,personalized,0,4,05-10-2024 01:55,"Spanish,English",No,2000,3G,480p,Feel-good,Title 59 S5 | Documentary | Director_26 | English
ev_00035,user_0095,31,Female,KA,Standard,17-11-2020,17-04-2024,SmartTV,sess_23566,content_0112,Title 147 S1,Movie,Animation,Horror|Sci-Fi|Fantasy,Spanish,2017,30,Director_58,"Actor_165,Actor_310",A animation piece about friendship.,6,,8,26.7,0,06-04-2024,4,1,1450,5.6,18+,8,0,1,personalized,0,3,06-04-2024 11:32,Korean,No,800,WiFi,480p,Thrilling,Title 147 S1 | Animation | Director_58 | Spanish
ev_00036,user_0252,26,Female,UP,Standard,10-03-2021,02-04-2023,GameConsole,sess_50577,content_0004,Title 198 S3,Series,Animation,Documentary,English,2018,52,Director_19,"Actor_159,Actor_496,Actor_336",A animation piece about crime.,7.1,7.4,52,100,1,28-03-2023,3,0,1373,7.2,U,10,7,84,organic,0,3,28-03-2023 06:33,Hindi,Yes,800,WiFi,480p,Thrilling,Title 198 S3 | Animation | Director_19 | English
ev_00037,user_0303,62,Female,TN,Standard,13-06-2020,15-09-2023,GameConsole,sess_68222,content_0095,Title 277 S5,Movie,Documentary,Action|Sci-Fi|Animation,Hindi,2005,179,Director_104,"Actor_370,Actor_225",A documentary piece about love.,5.4,,175,97.8,1,01-09-2023,4,0,1094,4.4,18+,3,0,1,organic,0,3,01-09-2023 17:09,"Hindi,Korean",Yes,1500,4G,4K,Suspense,Title 277 S5 | Documentary | Director_104 | Hindi
ev_00038,user_0397,66,Female,WB,Basic,15-09-2022,05-03-2023,GameConsole,sess_61964,content_0152,Title 53 S5,Movie,Romance,Action,Tamil,2014,151,Director_19,"Actor_47,Actor_485,Actor_467,Actor_114",A romance piece about family.,5.7,1.2,81,53.6,0,24-02-2023,6,0,460,3.2,U,11,0,1,personalized,0,5,24-02-2023 04:44,"Telugu,Spanish",Yes,800,4G,1080p,Dark,Title 53 S5 | Romance | Director_19 | Tamil
ev_00039,user_0236,37,Female,UP,Free,25-10-2019,05-09-2023,SmartTV,sess_28818,content_0137,Title 77 S5,Series,Comedy,Thriller|Romance,English,2001,25,Director_54,"Actor_33,Actor_57,Actor_429,Actor_464",A comedy piece about friendship.,6.7,5.6,4,16,0,05-09-2023,7,0,384,7,U,8,6,30,editor_pick,0,0,05-09-2023 21:41,"Tamil,Korean",Yes,1500,4G,1080p,Dark,Title 77 S5 | Comedy | Director_54 | English
ev_00040,user_0374,62,Male,TN,Basic,01-12-2020,20-09-2025,Mobile,sess_69988,content_0247,Title 54 S5,Series,Action,Documentary,Spanish,2010,51,Director_23,"Actor_357,Actor_246,Actor_324,Actor_94",A action piece about family.,3.4,,12,23.5,0,24-08-2025,1,0,647,8.6,18+,8,8,64,organic,0,5,24-08-2025 11:19,"English,Tamil",No,2000,3G,4K,Suspense,Title 54 S5 | Action | Director_23 | Spanish
ev_00041,user_0028,53,Female,MH,Standard,02-07-2022,22-04-2024,Web,sess_88986,content_0243,Title 96 S4,Series,Documentary,Romance|Comedy|Sci-Fi,English,2013,48,Director_106,"Actor_280,Actor_151",A documentary piece about mystery.,3.2,3.7,42,87.5,0,01-04-2024,1,0,1489,8.2,15+,9,7,56,personalized,0,2,01-04-2024 17:30,English,Yes,3000,3G,480p,Dark,Title 96 S4 | Documentary | Director_106 | English
ev_00042,user_0388,67,Male,MH,Basic,26-03-2022,17-09-2023,Mobile,sess_24869,content_0031,Title 121 S3,Series,Sci-Fi,Drama|Action|Fantasy,Tamil,2011,38,Director_98,Actor_294,A sci-fi piece about adventure.,6.2,6.8,38,100,1,13-09-2023,2,0,537,7.6,18+,3,10,80,personalized,0,3,13-09-2023 05:53,"English,French",No,4500,WiFi,480p,Thrilling,Title 121 S3 | Sci-Fi | Director_98 | Tamil
ev_00043,user_0380,42,Other,KA,Basic,04-07-2022,27-05-2023,Mobile,sess_90209,content_0040,Title 149 S3,Movie,Action,Horror|Thriller,English,2006,55,Director_31,"Actor_14,Actor_185,Actor_284,Actor_294",A action piece about mystery.,5.8,,40,72.7,0,13-05-2023,8,0,1077,5.5,18+,9,0,1,organic,0,4,13-05-2023 11:45,Korean,Yes,1200,3G,480p,Feel-good,Title 149 S3 | Action | Director_31 | English
ev_00044,user_0246,54,Male,MH,Free,08-09-2019,14-04-2023,Tablet,sess_75873,content_0229,Title 79 S3,Movie,Action,Thriller|Documentary,Spanish,2009,40,Director_33,"Actor_326,Actor_490",A action piece about space.,4.4,6.5,40,100,1,06-04-2023,6,0,1726,8.5,U,0,0,1,organic,0,4,06-04-2023 14:13,Telugu,No,4500,WiFi,4K,Dark,Title 79 S3 | Action | Director_33 | Spanish
ev_00045,user_0259,37,Other,MH,Standard,17-04-2021,30-06-2025,Web,sess_55268,content_0036,Title 208 S3,Series,Comedy,Drama|Action|Fantasy,Telugu,2015,39,Director_27,"Actor_311,Actor_74,Actor_161",A comedy piece about family.,7.5,,37,94.9,1,31-05-2025,2,0,654,4.5,U,4,8,56,organic,0,3,31-05-2025 08:28,Korean,No,3000,WiFi,720p,Dark,Title 208 S3 | Comedy | Director_27 | Telugu
ev_00046,user_0086,25,Female,TN,Standard,22-09-2019,17-11-2024,Web,sess_98148,content_0223,Title 264 S4,Series,Romance,Drama|Comedy,Telugu,2016,39,Director_31,"Actor_299,Actor_181",A romance piece about love.,2.9,8.9,4,10.3,0,31-10-2024,7,0,275,8.3,15+,12,7,63,organic,0,4,31-10-2024 09:51,Telugu,No,3000,WiFi,480p,Dark,Title 264 S4 | Romance | Director_31 | Telugu
ev_00047,user_0202,43,Male,MH,Basic,07-10-2019,21-04-2024,GameConsole,sess_29521,content_0006,Title 50 S4,Series,Documentary,Documentary|Action|Thriller,Spanish,2016,35,Director_65,Actor_24,A documentary piece about love.,3.5,5.3,12,34.3,0,12-04-2024,3,0,805,8.9,15+,9,6,72,trending,0,2,12-04-2024 11:18,Telugu,No,4500,4G,4K,Suspense,Title 50 S4 | Documentary | Director_65 | Spanish
ev_00048,user_0274,37,Female,RJ,Premium,28-03-2020,13-08-2023,GameConsole,sess_63788,content_0220,Title 297 S5,Movie,Drama,Fantasy|Action|Sci-Fi,Hindi,2021,82,Director_5,Actor_98,A drama piece about love.,5.6,4.7,9,11,0,28-07-2023,1,0,1446,3.8,UA,8,0,1,organic,0,1,28-07-2023 15:41,"Spanish,Tamil",No,3000,3G,720p,Dark,Title 297 S5 | Drama | Director_5 | Hindi
ev_00049,user_0060,48,Other,TN,Free,26-05-2021,09-03-2024,Tablet,sess_55237,content_0075,Title 286 S3,Movie,Romance,Thriller|Fantasy,Tamil,2015,109,Director_72,"Actor_148,Actor_63,Actor_294",A romance piece about crime.,6.3,,19,17.4,0,09-02-2024,2,0,710,8.5,15+,11,0,1,personalized,0,2,09-02-2024 04:41,Spanish,Yes,1200,4G,720p,Educational,Title 286 S3 | Romance | Director_72 | Tamil
ev_00050,user_0218,68,Female,DL,Standard,01-09-2017,25-04-2023,GameConsole,sess_95498,content_0004,Title 27 S1,Series,Documentary,Fantasy|Comedy|Action,English,2017,20,Director_53,"Actor_245,Actor_334,Actor_103,Actor_388",A documentary piece about mystery.,4.7,9.2,20,100,1,02-04-2023,1,0,1871,8.5,18+,2,1,10,trending,0,0,02-04-2023 00:18,"Spanish,Korean",Yes,1500,WiFi,4K,Educational,Title 27 S1 | Documentary | Director_53 | English
ev_00051,user_0033,43,Female,MH,Standard,19-11-2021,08-08-2024,Tablet,sess_98395,content_0134,Title 269 S4,Movie,Horror,Romance|Thriller,Korean,2003,104,Director_21,"Actor_332,Actor_132,Actor_368,Actor_96",A horror piece about love.,7.7,,44,42.3,0,04-08-2024,7,0,1694,5.6,15+,1,0,1,personalized,0,1,04-08-2024 00:13,"Telugu,Hindi",No,1500,WiFi,1080p,Thrilling,Title 269 S4 | Horror | Director_21 | Korean
ev_00052,user_0147,49,Male,WB,Basic,26-06-2022,02-06-2024,Web,sess_30078,content_0118,Title 294 S1,Series,Documentary,Thriller|Drama|Comedy,Telugu,2009,20,Director_52,"Actor_354,Actor_61,Actor_328",A documentary piece about mystery.,5.1,9.6,10,50,0,04-05-2024,8,0,1552,6.2,UA,12,4,20,personalized,0,0,04-05-2024 18:41,Spanish,Yes,1200,WiFi,4K,Feel-good,Title 294 S1 | Documentary | Director_52 | Telugu
ev_00053,user_0364,54,Female,KA,Free,29-04-2019,11-10-2023,Tablet,sess_10395,content_0094,Title 106 S5,Series,Comedy,Fantasy|Drama|Animation,Hindi,2016,36,Director_59,Actor_287,A comedy piece about friendship.,7.2,1.2,4,11.1,0,18-09-2023,2,0,1109,9,U,7,1,8,personalized,0,2,18-09-2023 13:03,"Korean,Telugu",No,800,5G,1080p,Feel-good,Title 106 S5 | Comedy | Director_59 | Hindi
ev_00054,user_0340,68,Male,UP,Standard,25-02-2019,16-03-2025,Mobile,sess_24790,content_0062,Title 276 S4,Movie,Thriller,Drama,Tamil,2014,159,Director_55,"Actor_422,Actor_118,Actor_127,Actor_236",A thriller piece about mystery.,3.6,8.9,39,24.5,0,22-02-2025,1,0,493,4.2,U,9,0,1,organic,0,1,22-02-2025 01:30,"Telugu,Hindi",Yes,800,5G,1080p,Dark,Title 276 S4 | Thriller | Director_55 | Tamil
ev_00055,user_0051,27,Female,RJ,Free,27-07-2021,30-10-2024,Web,sess_98965,content_0194,Title 295 S3,Series,Thriller,Action|Horror,Hindi,2013,29,Director_36,Actor_286,A thriller piece about space.,8.7,,5,17.2,0,03-10-2024,7,0,1610,6.1,18+,6,3,24,organic,0,5,03-10-2024 04:55,"English,Spanish",No,2000,5G,4K,Dark,Title 295 S3 | Thriller | Director_36 | Hindi
ev_00056,user_0349,43,Male,DL,Basic,25-09-2018,17-09-2024,GameConsole,sess_98008,content_0203,Title 105 S3,Movie,Fantasy,Comedy|Horror,French,2006,33,Director_35,"Actor_345,Actor_310,Actor_309,Actor_21",A fantasy piece about family.,3,,5,15.2,0,24-08-2024,6,0,621,8.7,U,3,0,1,editor_pick,0,5,24-08-2024 20:37,Telugu,Yes,3000,WiFi,1080p,Heartwarming,Title 105 S3 | Fantasy | Director_35 | French
ev_00057,user_0058,44,Female,UP,Basic,28-04-2019,22-06-2023,SmartTV,sess_12125,content_0026,Title 274 S3,Series,Romance,Horror|Fantasy,Telugu,2003,56,Director_61,"Actor_469,Actor_105,Actor_190",A romance piece about mystery.,5.4,3,37,66.1,0,30-05-2023,4,0,778,6.4,UA,7,9,81,organic,0,1,30-05-2023 12:01,Hindi,No,1200,4G,480p,Feel-good,Title 274 S3 | Romance | Director_61 | Telugu
ev_00058,user_0180,19,Other,AP,Standard,27-04-2022,05-12-2024,Mobile,sess_73944,content_0173,Title 25 S1,Series,Action,Thriller|Comedy|Action,English,2006,42,Director_59,"Actor_31,Actor_317,Actor_327",A action piece about crime.,9,,8,19,0,06-11-2024,1,0,1085,7.3,15+,0,9,90,trending,0,1,06-11-2024 08:13,Spanish,No,1500,WiFi,4K,Feel-good,Title 25 S1 | Action | Director_59 | English
ev_00059,user_0253,30,Other,KA,Premium,31-01-2019,20-11-2024,GameConsole,sess_53420,content_0133,Title 208 S4,Movie,Thriller,Comedy|Drama,English,2012,117,Director_49,"Actor_29,Actor_327,Actor_5,Actor_360",A thriller piece about adventure.,3.1,,77,65.8,0,22-10-2024,4,0,433,8.4,18+,4,0,1,organic,0,4,22-10-2024 22:27,Hindi,No,800,5G,720p,Educational,Title 208 S4 | Thriller | Director_49 | English
